,Issue Number,Issue Title,Issue Label,Issue state,Issue Body,Issue Comments
11,958,code translation,[],open,I want to translate the code to my language through the comments,['Hello Everyone \r\n']
12,955,Eslint parsing error,[],open,"I'm facing ""src\data-structures\queue\README.md
  1:1  error  Parsing error: Unexpected character '#' "" error.
I'm on the windows platform and tried to ignore .md files adding
 {
  ""eslintIgnore"" : [""**/*.md""],
} propety to eslintIgnore file.  am still facing the same issue. How to resolve this?",[]
13,952,update the ES README a lenguage correction,[],open,"This change is not much but i put the correct way that Fibonacci sequence is written in Spanish, i know that because i live in spain and i am a student and here we call it ""Sucesión de Fibonacci""",[]
14,949,Create cycleSort.js ,[],open,"This program is of Cycle Sort Algorithm in JavaScript. I admit that I am the coder of this program, so there would be no plagiarism.",[]
15,945,Added tree-sort algorithm,[],open,,[]
16,944,Skip list implementation,[],open,#827,[]
17,939,read-black-tree,[],open,,"['let tree = new RedBlackTree();\r\ntree.insert(5);\r\ntree.insert(10);\r\ntree.insert(8);\r\nAt this time, the parent pointer of 10 is null;   ', 'let tree = new RedBlackTree(1);\r\ntree.insert(5);\r\ntree.insert(10);\r\ntree.insert(8);\r\nAt this time, the parent pointer of 10 is null;']"
18,938,Huffman Coding Using Greedy Algorithm,[],open,,[]
19,935,Update readme 2,[],open,#880 ,['Branch out of date. Update and re-submit.']
20,931,Add CombSort,[],open,CombSort is a quite good algorithm. It improves BubbleSort using the gap instead of just swapping neighbors.,"['I know this PR is not mergeable, but I  implemented CombSort so check it out: https://github.com/trekhleb/javascript-algorithms/pull/932']"
21,929,Persian trans,[],open,#907 ,[]
22,928,Translation,[],open,Simplified Chinese translation of binary search tree,[]
23,924,new algorithm that move the array to left according the numbers of po…,[],open,added new algorithm based on array rotation,[]
24,923,Bfs typo,[],open,fix for #564,[]
25,922,Add exponential search,[],open,,[]
26,921,update-readme,[],open,fixes typo in line 280 of readme.md ,[]
27,920,Create a Cocktail Shaker Sort Algorithm,[],open,"This is my first attempt of the Cocktail Shaker Sort Algorithm, feel free to check and improve it.",[]
28,918,Create a Manhattan Distance Calculation Formula,[],open,"This is the first attempt of the Manhattan Distance Formula, feel free to update it.",[]
29,917,Create a median formula,[],open,"This is the first attempt of the Median Formula, feel free to update it.",[]
30,916,Fix BUG in graph reverse method & Add needed tests,[],open,"This PR fix the issue in #873.

The issue was in the old reverse method, edges reversed one by one and this was making issue for graphs with cycle of length 2. For example, when graph with only two edges AB and BA was reversing, on reversing AB, BA was exist and there will be crash.",[]
31,911,Set Euler diagrams ,[],open,"I forked this repository and made some tuning. Among others, [Euler diagrams](https://en.wikipedia.org/wiki/Euler_diagram) are very useful for multiple use cases. May I do a pull request? The source code is below to consult.

https://github.com/dot-quiver/quivero-api/blob/e10da7587ffc77434a2d49a40c15d515a641176b/utils/arrays/arrays.js#L496

",[]
32,910,Timsort branch,[],open,"Added TimSort for issue https://github.com/trekhleb/javascript-algorithms/issues/202

Added Timsort, Test for Timsort and README.md in english language",[]
33,907,Persian Language,[],open,Can I help you with the Persian translation?,[]
34,905,Added Extended Euclidean Algorithm,[],open,"While the Euclidean algorithm calculates only the greatest common divisor (GCD) of two integers a and b, the extended version also finds a way to represent GCD in terms of a and b, i.e. coefficients x and y for which: a * x + b * y  = gcd(a, b). This is extremely useful in the application of the chinese remainder theorem and calculating modular inverses.",[]
35,904,Update README.md by correcting Turkish lang name,[],open,"""Türk"" is like ""German [people]"" and the language itself is actually ""Türkçe"", like in ""Turkish"" or ""Turkish langauge"".",[]
36,903,corrected the faulty website for quick sort,[],open,Added change for issue https://github.com/trekhleb/javascript-algorithms/issues/881,[]
37,901,Contributing to translations to Portuguese,[],open,Translate one sentence to Portuguese and fix understanding from an already translated sentence,[]
38,898,Readme in Bengali,[],open,readme file isn't fully translated to Bengali but I'll finish translation soon.,[]
39,897,Add indonesian translation of caesar chiper algorithm,[],open,,[]
40,895,Fix @throws documentation tag,[],open,"This PR suggests to fix a typo in a doc tag.

Please review.",[]
41,894,Add translate for Palindrome.,[],open,,[]
42,893,Add es-ES translation to search/binary-search,[],open,,[]
43,892,Better `isPowerOfTwo` algos and files,[],open,"Closes #889.

The bitwise approach isn't mathematically correct, because it only works for 32bit ints, therefore it should be exclusive to the `math/bits` directory.

I also added info about the supported input args for both the trial division approach and the bitwise approach",['Now the non-bitwise fn supports `BigInt`s']
44,891,Update breadthFirstSearch.js,[],open,,[' na']
45,890,Improve readability,[],open,Signed-off-by: Ryan Russell <ryanrussell@users.noreply.github.com>,[]
46,889,`isPowerOfTwo` algos don't specify their ranges,[],open,"Neither the README nor the src files explicitly say that the bitwise approach is only correct for 32bit ints. The way it's worded implies that the bitwise approach is always better, but the ""naive"" approach is the most mathematically correct, it even handles `NaN` and `Infinity` correctly! Why isn't there a clarification?","['@Rudxain I want to fix this issue can you assign it to me ..... ', '> Can you assign it to me\r\n\r\nI don\'t have any authority to do that lol. You could open a PR and write ""Fixes #889"" or ""Closes #889"" to auto-close this Issue if it gets merged', ""Wait I realized there's a *bigger* Issue. The bitwise `isPowerOfTwo` is **duped**, an instance is in the math/bits folder, and the other in math/is-power-of-two. This makes no sense. The bitwise variant isn't mathematical, it should be exclusively located in the `bits` directory, not directly within `math`. I'm gonna open a PR"", ""@Yash-Var  I've already opened a PR. If you want to contribute you can send PRs to my fork, or open an independent PR that solves this Issue in a different way""]"
47,887,Incorrect use of conjunction.,[],open,,[]
48,886,add unit test for interpolationSearch.js,[],open,"Here is the report:
https://docs.google.com/document/d/188vsDiq5C8d0sqrqgrdbt4NxzM9vvWLQc6UaFKQPczQ/edit","['您好,我已经收到您的信。', '本座正在渡劫，有事请留言......']"
49,885,Translated to  Chinese and fixed several mistakes about linked list files,[],open,"I thought the descriptions of the early and postscript in the pseudocode also needed to be translated, so I did. 
I also fixed a logic error in the doubly linked list pseudocode.",[]
50,883,Does the eulerian-path find all possible cycles?,[],open,"It appears the `hamiltonian-cycle` module finds all possible cycles. Does the eulerian path module find all possible cycles, or just one? If not, how would you modify it to find all possible cycles? I would like to try and redo [this Hamiltonian cycle de Bruijn sequence finder](https://stackoverflow.com/a/71957347/169992) using Eulerian paths instead :). Thank you for all your work on this!",[]
51,881,Quick sort in place reference link takes me to weird site,[],open,"https://github.com/trekhleb/javascript-algorithms/blob/cb7afe18ef003995d8e23cc0b179ee7e37e8a19e/src/algorithms/sorting/quick-sort/QuickSortInPlace.js#L7

The link is connected to weird gamble site. It needs to replace.",['I can take this issue.']
52,880,[Typo] README.md ,[],open,"In line 280 of the README.md it says `In case if linting or testing is failing`
It should say `In case of linting or testing is failing`
[README.md](https://github.com/trekhleb/javascript-algorithms/files/8516112/README.md)
","[""I'd like to be of help can I be assigned this?"", 'I made a PR regarding this, https://github.com/trekhleb/javascript-algorithms/pull/888']"
53,873,[BUG] Strongly connected components function breaks when adding edges on opposite directions,[],open,"Computing strongly connected components fails when adding edges in opposite direction. Minimal example:

```js      
        const vertexA = new GraphVertex('A');
        const vertexB = new GraphVertex('B');
        const vertexC = new GraphVertex('C');
        const vertexD = new GraphVertex('D');

        const edgeAB = new GraphEdge(vertexA, vertexB);
        const edgeBA = new GraphEdge(vertexB, vertexA);
        const edgeBC = new GraphEdge(vertexB, vertexC);
        const edgeCA = new GraphEdge(vertexC, vertexA);
        const edgeCD = new GraphEdge(vertexC, vertexD);

        const graph = new Graph(true);

        graph
            .addEdge(edgeAB)
            .addEdge(edgeBA)
            .addEdge(edgeBC)
            .addEdge(edgeCA)
            .addEdge(edgeCD);

        const components = stronglyConnectedComponents(graph);
```
Gives the following output: 

```
Uncaught Error: Edge has already been added before
    at Graph.addEdge (Graph.js:74:1)
    at Graph.js:149:1
```","[""I think this error is for reverse function in graph. Because as written [here](https://github.com/trekhleb/javascript-algorithms/blob/master/src/data-structures/graph/Graph.js#L139), edges reverse one by one and for example if we have both AB and BA edges, on reversing AB, BA will be exist and cause error.\r\n\r\nI'm going to create a PR and fix this issue."", '@trekhleb, Would you please take a look at this?']"
54,872,npm package(s),[],open,"Hi Trekhleb,

I took the liberty to clone your initiative and publish a npm package with my own modifications. Some are application-oriented, others are puristic and extends your prior work. Feel free to comment and evaluate. Most of my modifications regards the Graph data-structure. What do you think of publishing either one or several npm packages and create a trust-worthy package bundle?

I also noticed you are a great fan of geeksforgeeks.org/ :-)

Best regards",['Take [this](https://en.wikipedia.org/wiki/Glossary_of_graph_theory). It is dangerous outside.']
55,871,Swap,[],open,Closes #314,[]
56,870,Add minimax algorithm,[],open,Closes #566,[]
57,869,Add Chinese Translation,[],open,,[]
58,868,Your project has been added to a list of copyfree works.,[],open,"http://copyfree.org/resources/works#JavaScript%20Algorithms%20and%20Data%20Structures

Please let me know if there are inaccuracies to be corrected or improvements to
be made in the listing, including suggestions for changes to the list of tags
associated with your project's entry.
",['good job']
59,867,Add Markov Chain or Markov Process algorithm,[],open,"Wikipedia: https://en.wikipedia.org/wiki/Markov_chain

Implementations:

* Random pronounceable words generator
  Example in coffee-script (8 years old) here: https://github.com/SyntaxColoring/Markov-Word-Generator/tree/Markov.coffee

* Random sentence generator
  Example in ruby/python (7 years old) here: https://github.com/hrs/markov-sentence-generator","['This sounds interesting, can I be assigned this?']"
60,866,pictures in algo and data structures not visible on the default github dark theme,[],open,"<img width=""777"" alt=""image"" src=""https://user-images.githubusercontent.com/91960848/155171657-1a93a26d-3820-48ee-b042-51aa1b68c59c.png"">

I'm probably not the first one to notice it, but it is quite hard to distinguish them from the background.
","['My suggestion would be to append #gh-dark-mode-only and #gh-light-mode-only parameters at the end of the image. Problem is I am not sure about where to host the additional dark mode picture, as the regular one for the light mode is from wikimedia storage']"
61,863,Replace deprecated String.prototype.substr(),[],open,"[String.prototype.substr()](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/substr) is deprecated so we replace it with [String.prototype.slice()](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/slice) which works similarily but isn't deprecated.
.substr() probably isn't going away anytime soon but the change is trivial so it doesn't hurt to do it.",[]
62,859,Add README.zh-CN.md,[],open,,"['您好,我已经收到您的信。']"
63,858,npm该更新了 它老了呀,[],open,"
<img width=""788"" alt=""q1"" src=""https://user-images.githubusercontent.com/20763416/153137654-e3d14997-b98f-49f1-881a-42a8ab4cbe18.png"">
","['算法會老嗎？', '思想永不过时']"
64,857,"Data structures
",[],open,,['unwanted issue\r\n']
65,850,Fix typos README.es-ES for linked list,[],open,"In the `README.es-ES.md` file to explain the linked list, there were many typos in the description of the algorithm.",[]
66,846,Tweaked get function of HashTable,[],open,"In case of key on present in table, now don't need to be compute hash for that key, then check corresponding list from bucket for that hash that key is present instead now agent will return expected undefined once there is no hash value present at fast lookup keys object",[]
67,845,Linked list swap added,[],open,ran lint and test with no issues,[]
68,844,Index methods ll,[],open,"Hi, I created the algorithms for removing, accessing, and modifying at an specific linked-list indexes for the issue #835 . I tried my best to replicate the code strucutre of other functions and created test cases for all my methods.",[]
69,835,"Inserting, removing, accessing, modifying, by index, on linked list",[],open,"```
Insert(head, index, value)
Pre: head is the head node in the list
Post: the list at the new index is the value; all items in the list are shifted up one index (trivial in a linked list).

Remove(head, index)
Pre: head is the head node in the list
Post: the item at the index is returned; all items after that index are shifted down one index (trivial in a linked list).

Get(head, index)
Pre: head is the head node in the list
Post: the item at the index is returned.

Set(head, index, value)
Pre: head is the head node in the list
Post: the previous item at the index is returned; the index now holds the new value
```


These seem like important features to be in a list. Should we add these? (Also, I'm kinda new to contributing; should these 4 functions be separate issues, or are they related enough that they make sense as one issue?)","['Hi @willow-iam, I decided to work on the Linked-Lists functions you asked for.\r\n\r\nI created this pull request to learn more about open source for a Intro to software Engineering course I am taking. This is my first open source contribution so I hope it gets accepted! \r\n\r\nI created functions for remove (deleteAtIndex), get (findByIndex) and set (setAtIndex). I did not create the insert function as that is already an existing function for linked-lists. \r\n\r\nI also created test cases for all of these functions to ensure they work optimally and correctly!']"
70,832,feat:linked list add new method,[],open,"traverse linked list is easy but uninteresting. You must add new variable and use while.So why not add a method to return a iterator.Then we can use for of to traverse. eg:
```js
getIterator() {
    const _this = this
    return {
      *[Symbol.iterator]() {
        let currentNode = _this.head
        if (!currentNode) yield node
        while (currentNode) {
          yield currentNode.value
          currentNode = currentNode.next
        }
      }
    }
  }
```


use
```js
const iter = linkedList.getIterator()
for(const item of iter){
 console.log(item)
} 
```",[]
71,830,Provide possible paths from A to B in a directed graph,[],open,"Hi,

I would like to know if you have an algorithm to find all possible paths (cyclic or acyclic) in a directed graph from certain node A to B. Although both depth and breadth search are on the folder '/src/algorithms/graph/', I must have certain creativity to extract the routes by given callback function. 

I really appreciate the work you have done here.

Best regards,
Bruno P.","[""The list could easily be infinite for a simple `A <-> B`. You'd need to define the problem better."", 'A first step would be to find all possible cycles in a graph. How: A first approach is to depth-search from an origin node: If one of the neighbors to current node belongs to the current route, persist the cycle in a list and backtrack it, removing from LocalPathList;\r\n\r\nA second step is to go along a route with inbetween cycles: every cycle may be traversed only once along the same route.\r\n\r\nExample: Given a graph with adjacency matrix given by object {\'A\': [\'B\'], \'B"": [\'C\'], \'C\': [\'D\', \'E\', \'F\'], \'D\': [], \'E\': [\'B\'], \'F\': [\'B\']}, the possible paths from A to D must be [\'ABCD\', \'ABCEBD\', \'ABCFBD\'].\r\n\r\n\r\n\r\n']"
72,827,Implement new Data Structure: SkipList,[],open,"https://en.wikipedia.org/wiki/Skip_list

I learned about this data structure in my distributed systems class. Could we add it to the project?","[""Sure, I'm gonna take a crack at this!"", 'I want to take this  i can fix \r\n', ""i still want to do this eventually but I haven't had time yet, so i guess you can go for it""]"
73,814,Add factorialBigInt,[],open,Non-recursive factorial function for BigInt data type.,[]
74,813,Add factorialRecursiveTCOBigInt (Tail Call Optimized),[],open,Tail Call Optimized factorial function for BigInt data type.,[]
75,812,Add factorialRecursiveTCO (Tail Call Optimized),[],open,,"['This is interesting, I wonder how you test this, since its dependent on the JS engine?\r\n\r\nE.g. Chrome doesn\'t seem to support this: https://chromestatus.com/feature/5516876633341952\r\n\r\nDebugger with stack trace:\r\n\r\n![image](https://user-images.githubusercontent.com/5236548/145709227-9f0854ac-40ac-42ac-8b15-642bdc83c2aa.png)\r\n\r\nWith the code: \r\n```js\r\nfunction factorialRecursiveTCO(number) {\r\n  function fact(number, accumulator = 1) {\r\n    console.log(""fact"", number);\r\n    debugger;\r\n    if (number < 2)\r\n      return accumulator;\r\n    else\r\n      return fact(number - 1, accumulator * number);\r\n  }\r\n  console.log(""factorialRecursiveTCO"", number);\r\n  return fact(number);\r\n}\r\nfactorialRecursiveTCO(10)\r\n```']"
76,803,The second explanation of the Caesar code is that I don't know how to do it,[],open,,[]
77,784,explanation updated,[],open,,[]
78,783,Doing Interpolation with FFT in JavaScript efficiency for hard polynomials problems,[],open,,[]
79,781,Improved performances of trialDivision algorithm in primality test,[],open,"I improved the performances of trialDivision by performing fewer checks, while still using the same overall idea of the algorithm.",[]
80,761,Splaytree,[],open,,[]
81,760,added pancake sort,[],open,"Closes #748 

As mentioned in the issue #748 , I have added pancake sorting algorithm and have successfully written and passed the tests as well . 


![open source](https://user-images.githubusercontent.com/41481913/131378196-edd888dc-66b6-4d4f-ac70-6003b69cc936.png)


I request you to approve my PR . ",[]
82,759,Merkle tree added with implementation and documentation,[],open,"A Merkle tree is a data structure that is used in computer science applications. In bitcoin and other cryptocurrencies​, Merkle trees serve to encode blockchain data more efficiently and securely.

Currently, their main uses are in peer-to-peer networks such as Tor, Bitcoin, and Git.",[]
83,757,Error: node-canvas was built without JPEG support,[],open,"This error occurd when I was running the file
> src/algorithms/image-processing/seam-carving/__tests__/resizeImageWidth.test.js

```
at Object.<anonymous> (~/javascript-algorithms-master/src/algorithms/image-processing/seam-carving/__tests__/resizeImageWidth.test.js:45:7)
```

```javascript

describe('resizeImageWidth', () => {
  it('should perform content-aware image width reduction', () => {
    // @see: https://jestjs.io/docs/asynchronous
    return Promise.all([
      loadImage(testImageBeforePath), // ERROR at this line !!!
      loadImage(testImageAfterPath),
    ]).then(([imgBefore, imgAfter]) => {
      // Original image.
      // ...
    });
  });
});

```
Do I need to reinstall canvas?",[]
84,748,Pancake sort,[],open,"# [pancake sorting](https://en.wikipedia.org/wiki/Pancake_sorting)

I see this not in [sorting directory](https://github.com/trekhleb/javascript-algorithms/tree/cf61af59c532ad180fd9b65a21a11e88413e6ebc/src/algorithms/sorting).

I can work on this.","['@ShahAnuj2610 is this issue still open ? can i work on this ? I am looking for my first open source contribution ! ', 'Yes\n\nGet Outlook for Android<https://aka.ms/AAb9ysg>\n________________________________\nFrom: Vasanth Kumar ***@***.***>\nSent: Sunday, August 22, 2021 10:19:50 PM\nTo: trekhleb/javascript-algorithms ***@***.***>\nCc: Subscribed ***@***.***>\nSubject: Re: [trekhleb/javascript-algorithms] Pancake sort (#748)\n\n\n@ShahAnuj2610<https://github.com/ShahAnuj2610> is this issue still open ? can i work on this ? I am looking for my first open source contribution !\n\n—\nYou are receiving this because you are subscribed to this thread.\nReply to this email directly, view it on GitHub<https://github.com/trekhleb/javascript-algorithms/issues/748#issuecomment-903430502>, or unsubscribe<https://github.com/notifications/unsubscribe-auth/ABP2P6FG4DB5MS7A5KQ3EELT6HD6NANCNFSM5BVMQFGQ>.\nTriage notifications on the go with GitHub Mobile for iOS<https://apps.apple.com/app/apple-store/id1477376905?ct=notification-email&mt=8&pt=524675> or Android<https://play.google.com/store/apps/details?id=com.github.android&utm_campaign=notification-email>.\n', ""Hi @ShahAnuj2610\r\nI'm look for projects to contribute them related to frontend or M L  and also is this issue still open ??""]"
85,728,Use the playground in a browser,[],open,"Hi 👋,

I created a branch in my fork at [mikenikles/javascript-algorithms](https://github.com/mikenikles/javascript-algorithms/tree/configure-gitpod) where I configured [Gitpod](https://www.gitpod.io).

It allows anyone to click a button in the `README.md` to start an ephemeral development environment with VS Code and a terminal running in the browser.

This helps lower the barrier for people to look at the algorithm code in a familiar environment and saves time following the ""How to use this repository"" instructions locally.

You can experience the end result based on my branch by clicking the following button:

[![Open in Gitpod](https://gitpod.io/button/open-in-gitpod.svg)](https://gitpod.io/#https://github.com/mikenikles/javascript-algorithms/tree/configure-gitpod)

If this is of interest, please let me know and I will open a PR.

Cheers,

Mike",[]
86,727,Comment - fast Walsh Hadamard transform,[],open,"You could include the fast Walsh Hadamard transform since it's kind of easy and has a number of uses:
[https://ai462qqq.blogspot.com/](url)",[]
87,709,perf: improve heap remove,[],open,,[]
88,701,Bosnian Language translation,[],open,I've just started to translate version for Bosnian language README.bs-BA.md,[]
89,696,Make README.ar-AR.md `rtl`,[],open,"I have made arabic paragraphs directed from right to left, but kept some parts ltr such as cli command and time complexity table.",[]
90,692,Bit Reversal missing?,[],open,"Something along the lines of:

```
function bitReverse(num){
        var result = 0;
        for (var i = 0; i < 8; i++) {
	        result = result * 2 + (num % 2);
	        num = Math.floor(num / 2);
        }
       return result;
}

var bitReverseLookup = function() {
	var lookup=[];
	for(var n=0; n<256; n++) {
		lookup[n] = bitReverse(n);
	}
	return lookup;
}();
```
",['Hi i am a fresher looking for some opensource contribution can u help me out i want to contribute to your project and can u assign me this issue:)']
91,689,Doing Interpolation with FFT in jscript efficiency for hard polynomials problems ,[],open,,[]
92,682,Hotfix/range error #590,[],open,"Possible solution for issue #590 , which involves negative power values in the fastPowering algorithm.",[]
93,675,images are not visible in dark mode,[],open,"images are not visible if the github dark mode is enable

![image](https://user-images.githubusercontent.com/8420386/112955307-eaf6e580-915c-11eb-86da-96fc9301acc6.png)
","['Is this issue can be assign?\r\n', 'HI, this is duplicate of https://github.com/trekhleb/javascript-algorithms/issues/656 :) ', 'Welcome to github @izabela-grzeskowiak-allegro ']"
94,671,error while condition in Simplified Chinese Code,[],open,"src/data-structures/doubly-linked-list/README.zh-CN.md

remove function

`while n = ø and value !== n.value` should be `while n != ø and value !== n.value`",['为什么']
